loan_id,servicer_name,current_balance,payment_status,days_past_due,last_payment_date,servicer_as_of_date,data_source
LN-0100027,Rocket Mortgage Servicing,387798.52,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100028,U.S. Bank Home Mortgage,396592.8,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100029,Mr. Cooper Group,151146.19,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100030,Mr. Cooper Group,375659.77,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100031,Mr. Cooper Group,533233.66,LATE_30,41,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100032,Chase Home Lending,493867.9,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100033,Chase Home Lending,433066.22,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100034,Rocket Mortgage Servicing,366797.67,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100035,Freedom Mortgage Corporation,299950.06,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100036,U.S. Bank Home Mortgage,475658.56,CURRENT,152,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100037,Mr. Cooper Group,409285.23,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100038,Rocket Mortgage Servicing,304571.88,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100039,Rocket Mortgage Servicing,429779.03,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100040,Freedom Mortgage Corporation,167601.11,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100041,Wells Fargo Home Mortgage,112195.85,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100042,Freedom Mortgage Corporation,451298.05,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100043,Mr. Cooper Group,614677.47,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100044,PennyMac Financial Services,586841.36,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100045,Rocket Mortgage Servicing,586005.35,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100046,PennyMac Financial Services,0,PAID_OFF,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100047,PennyMac Financial Services,540873.25,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100048,Mr. Cooper Group,299975.76,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100049,U.S. Bank Home Mortgage,188344.91,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100050,PennyMac Financial Services,249287.08,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100051,Chase Home Lending,771172.83,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100052,Mr. Cooper Group,220350.95,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100053,PennyMac Financial Services,364199.59,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100054,U.S. Bank Home Mortgage,513995.22,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100055,Mr. Cooper Group,427903.62,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100056,Wells Fargo Home Mortgage,334097.81,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100057,PennyMac Financial Services,850171.07,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100058,Rocket Mortgage Servicing,229578.44,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100059,U.S. Bank Home Mortgage,433050.9,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100060,Freedom Mortgage Corporation,263172.74,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100061,Freedom Mortgage Corporation,330447.91,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100062,Wells Fargo Home Mortgage,0,LATE_90,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100063,Wells Fargo Home Mortgage,357179.65,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100064,Rocket Mortgage Servicing,537709.5,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100065,Mr. Cooper Group,577688.44,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100066,Mr. Cooper Group,428237.16,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100067,PennyMac Financial Services,273621.56,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100068,Freedom Mortgage Corporation,472005.37,LATE_90,109,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100069,PennyMac Financial Services,426362.72,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-FALLBACK-69,Chase Home Lending,329716.01,LATE_60,83,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100071,Rocket Mortgage Servicing,574505.83,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100072,Wells Fargo Home Mortgage,515916.58,LATE_90,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100073,Freedom Mortgage Corporation,257725.33,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100074,U.S. Bank Home Mortgage,387537.8,LATE_30,46,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100075,Wells Fargo Home Mortgage,331495.97,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100076,Mr. Cooper Group,300069.62,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100077,PennyMac Financial Services,196648.9,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100078,Rocket Mortgage Servicing,305097.08,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100079,Freedom Mortgage Corporation,569481.82,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100080,Wells Fargo Home Mortgage,308699.06,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100081,Rocket Mortgage Servicing,199704.02,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100082,Wells Fargo Home Mortgage,176497.22,LATE_60,65,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100083,Mr. Cooper Group,1102610.51,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100084,Freedom Mortgage Corporation,216114.65,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100085,Rocket Mortgage Servicing,480150.79,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100086,Wells Fargo Home Mortgage,468085.61,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100087,PennyMac Financial Services,550772.39,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100088,Freedom Mortgage Corporation,327021.88,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100089,U.S. Bank Home Mortgage,236754.64,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100090,PennyMac Financial Services,580968.82,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100091,Mr. Cooper Group,285183.91,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100092,Rocket Mortgage Servicing,304866.26,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100093,Rocket Mortgage Servicing,353895.49,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100094,Wells Fargo Home Mortgage,230632.12,PAID_OFF,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100095,Freedom Mortgage Corporation,377666.5,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100196,Chase Home Lending,940220.7,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100097,Wells Fargo Home Mortgage,1574756.84,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100098,Mr. Cooper Group,218439.4,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100099,Chase Home Lending,254635.02,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100100,Rocket Mortgage Servicing,214048.45,LATE_90,119,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100101,Rocket Mortgage Servicing,337880.39,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100102,Mr. Cooper Group,403003.53,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100103,Rocket Mortgage Servicing,287114.49,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100104,Rocket Mortgage Servicing,270045.79,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100105,Freedom Mortgage Corporation,158104.84,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100106,Wells Fargo Home Mortgage,213711.77,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100107,U.S. Bank Home Mortgage,890749.25,LATE_90,93,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100108,PennyMac Financial Services,495608.98,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100109,U.S. Bank Home Mortgage,172132.09,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100110,Freedom Mortgage Corporation,307652.18,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100111,Mr. Cooper Group,1167638.61,LATE_60,66,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100112,Wells Fargo Home Mortgage,544930.17,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100113,U.S. Bank Home Mortgage,175667.77,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100114,Wells Fargo Home Mortgage,373621.01,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100115,Wells Fargo Home Mortgage,262340.23,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100116,PennyMac Financial Services,253088.04,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100117,Wells Fargo Home Mortgage,316235.85,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100118,PennyMac Financial Services,291415.98,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100119,Freedom Mortgage Corporation,596033.94,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100120,U.S. Bank Home Mortgage,606941.98,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100121,Chase Home Lending,1249139.29,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100122,Rocket Mortgage Servicing,272327.74,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100123,Mr. Cooper Group,522677.7,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100124,PennyMac Financial Services,175285.65,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100125,Freedom Mortgage Corporation,578413.59,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100126,Chase Home Lending,214518.97,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100127,Mr. Cooper Group,362782.02,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100128,Chase Home Lending,276450.6,LATE_30,59,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100129,Mr. Cooper Group,481258.95,LATE_90,112,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100130,PennyMac Financial Services,428933.09,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100131,U.S. Bank Home Mortgage,573459.85,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100132,Wells Fargo Home Mortgage,357638.46,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100133,Freedom Mortgage Corporation,265233.43,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100134,Freedom Mortgage Corporation,604717.94,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100135,U.S. Bank Home Mortgage,318592.43,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100136,U.S. Bank Home Mortgage,222384.25,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100137,Freedom Mortgage Corporation,493738.68,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100138,Mr. Cooper Group,528554.93,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100139,Freedom Mortgage Corporation,540780.21,LATE_30,56,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100140,PennyMac Financial Services,318435.48,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100141,U.S. Bank Home Mortgage,266115.43,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100142,Wells Fargo Home Mortgage,585053.8,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100143,PennyMac Financial Services,425877.42,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100144,PennyMac Financial Services,346612.41,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100145,U.S. Bank Home Mortgage,278266.75,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100146,Chase Home Lending,467567.43,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100147,U.S. Bank Home Mortgage,1666305.69,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100148,U.S. Bank Home Mortgage,192531.35,LATE_60,69,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100149,Rocket Mortgage Servicing,244393.85,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100150,U.S. Bank Home Mortgage,201218.73,CURRENT,169,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100151,U.S. Bank Home Mortgage,386245.69,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100152,Mr. Cooper Group,1401879.72,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100153,U.S. Bank Home Mortgage,253336.76,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100154,Wells Fargo Home Mortgage,282334.22,LATE_30,44,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100155,U.S. Bank Home Mortgage,773027.08,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100156,Freedom Mortgage Corporation,1199496.92,LATE_60,72,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100157,U.S. Bank Home Mortgage,326267.13,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100158,Freedom Mortgage Corporation,260084.53,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100159,Rocket Mortgage Servicing,390754.32,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100160,Freedom Mortgage Corporation,1454753.85,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100161,Chase Home Lending,361082.49,LATE_30,56,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100162,Wells Fargo Home Mortgage,0,PAID_OFF,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100163,Chase Home Lending,191761.5,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100164,U.S. Bank Home Mortgage,384238.36,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100165,U.S. Bank Home Mortgage,302662.47,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100166,Wells Fargo Home Mortgage,537023.37,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100167,Mr. Cooper Group,593263.39,LATE_60,84,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100168,PennyMac Financial Services,339613.36,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100169,PennyMac Financial Services,374089.47,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100170,Mr. Cooper Group,241257.15,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100171,PennyMac Financial Services,310087.61,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100172,Wells Fargo Home Mortgage,322864.09,LATE_30,36,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100173,U.S. Bank Home Mortgage,513533.61,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100174,PennyMac Financial Services,449876.21,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100175,Rocket Mortgage Servicing,451653.6,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100176,Wells Fargo Home Mortgage,505771.5,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100177,U.S. Bank Home Mortgage,231731.58,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100178,Rocket Mortgage Servicing,309936.48,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100179,Rocket Mortgage Servicing,329393.47,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100180,U.S. Bank Home Mortgage,496706.07,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100181,Wells Fargo Home Mortgage,487906.92,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100182,Freedom Mortgage Corporation,132930.5,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100183,U.S. Bank Home Mortgage,202656.53,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100184,Wells Fargo Home Mortgage,212761.15,LATE_30,32,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100185,Wells Fargo Home Mortgage,448609.67,LATE_60,86,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100186,U.S. Bank Home Mortgage,411299.84,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100187,Rocket Mortgage Servicing,305450.81,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100188,Mr. Cooper Group,352008.49,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100189,Chase Home Lending,355940.88,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100190,PennyMac Financial Services,125101.45,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100191,Wells Fargo Home Mortgage,190831.88,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100192,Freedom Mortgage Corporation,336828.17,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100193,Freedom Mortgage Corporation,1166393.34,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100194,Rocket Mortgage Servicing,532074.42,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100195,U.S. Bank Home Mortgage,287094.97,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100196,Rocket Mortgage Servicing,502952.93,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100197,Wells Fargo Home Mortgage,1181607.68,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100198,Wells Fargo Home Mortgage,446072.67,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100199,Freedom Mortgage Corporation,190178.45,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-FALLBACK-199,Rocket Mortgage Servicing,801912.37,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100201,Chase Home Lending,278795.72,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100202,U.S. Bank Home Mortgage,1297612.82,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100203,Chase Home Lending,465758.83,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100204,Chase Home Lending,322689.5,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100205,Rocket Mortgage Servicing,197987.75,LATE_30,43,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100206,Rocket Mortgage Servicing,1039848.19,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100207,PennyMac Financial Services,309675.01,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100208,PennyMac Financial Services,122295.1,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100209,U.S. Bank Home Mortgage,354486.02,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100210,Freedom Mortgage Corporation,237229.37,LATE_30,33,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100211,Rocket Mortgage Servicing,566884.65,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100212,PennyMac Financial Services,1183891.83,LATE_90,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100213,Wells Fargo Home Mortgage,373783.23,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
