loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-0100012,BW-0050012,FHA,2023-04-06,2053-04-06,311102,291139.62,5.608,360,CA,REFINANCE_CASH_OUT,B,1-2 years,$200k+,LATE_30,45,PennyMac Financial Services,2025-12-12,2025-12-30,AUDIT_COMPLETE,SERVICING_MSP_CORE
LN-0100013,BW-0050013,JUMBO,2024-11-30,2044-11-30,837050,802870.46,5.653,240,NY,PURCHASE,B,< 1 year,$75k-$120k,CURRENT,0,PennyMac Financial Services,2026-01-08,2026-01-02,AUDIT_COMPLETE,LOS_ENCOMPASS_PROD
LN-0100014,BW-0050014,CONVENTIONAL,2023-08-23,2043-08-23,605723,554488.93,5.288,240,VA,PURCHASE,A,6-9 years,$75k-$120k,CURRENT,0,PennyMac Financial Services,2026-01-07,2025-12-24,PENDING_REVIEW,ORIGINATION_PORTAL_V2
LN-0100015,BW-0050015,CONVENTIONAL,2023-11-17,2038-11-17,356857,320774.79,9.079,180,MD,REFINANCE_RATE_TERM,D,6-9 years,< $40k,CURRENT,0,PennyMac Financial Services,2026-01-18,2026-01-28,AUDIT_COMPLETE,CORE_BLACKKNIGHT_LPS
LN-0100016,BW-0050016,JUMBO,2024-02-01,2044-02-01,1667155,1550454.15,4.875,240,FL,PURCHASE,A,6-9 years,$200k+,CURRENT,0,Mr. Cooper Group,2026-01-25,2026-01-26,AUDIT_COMPLETE,SERVICING_MSP_CORE
LN-0100017,BW-0050017,CONVENTIONAL,2023-10-02,2038-10-02,519101,462576.67,5.893,180,FL,REFINANCE_CASH_OUT,A,< 1 year,< $40k,CURRENT,0,PennyMac Financial Services,2026-01-20,2026-01-27,EXCEPTION_NOTED,CORE_BLACKKNIGHT_LPS
LN-0100018,BW-0050018,FHA,2023-06-20,2038-06-20,269552,116972.95,7.897,180,CA,REFINANCE_RATE_TERM,C,10+ years,$200k+,PAID_OFF,0,Wells Fargo Home Mortgage,2026-01-23,2026-01-27,VERIFIED,SERVICING_MSP_CORE
LN-0100019,BW-0050019,CONVENTIONAL,2025-05-15,2040-05-15,344784,334057.39,10.02,180,ME,PURCHASE,D,6-9 years,$40k-$75k,LATE_30,57,Rocket Mortgage Servicing,2025-11-29,2026-01-04,PENDING_REVIEW,LOS_ENCOMPASS_PROD
LN-0100020,BW-0050020,CONVENTIONAL,2025-03-18,2045-03-18,596141,578753.55,6.741,240,NY,PURCHASE,B,1-2 years,$75k-$120k,CURRENT,0,Freedom Mortgage Corporation,2026-01-27,2025-12-19,AUDIT_COMPLETE,LOS_ENCOMPASS_PROD
LN-0100021,BW-0050021,FHA,2025-07-01,2055-07-01,265358,261746.18,5.711,360,WA,PURCHASE,B,1-2 years,$40k-$75k,CURRENT,0,Freedom Mortgage Corporation,2026-01-20,2026-01-28,VERIFIED,CORE_BLACKKNIGHT_LPS
LN-0100022,BW-0050022,VA,2023-06-21,2053-06-21,437883,411488.39,8.174,360,MI,PURCHASE,D,3-5 years,$40k-$75k,CURRENT,0,U.S. Bank Home Mortgage,2026-01-16,2026-01-07,MISSING_DOCS,SERVICING_MSP_CORE
LN-0100023,BW-0050023,CONVENTIONAL,2025-01-01,2055-01-01,183109,178480.41,4.753,360,CA,PURCHASE,A,< 1 year,$40k-$75k,CURRENT,0,PennyMac Financial Services,2026-01-04,2025-12-30,VERIFIED,SERVICING_MSP_CORE
LN-0100024,BW-0050024,FHA,2022-02-23,2037-02-23,247640,202376.91,6.553,180,MT,PURCHASE,B,< 1 year,$120k-$200k,CURRENT,0,Freedom Mortgage Corporation,2026-01-07,2026-01-02,VERIFIED,SERVICING_MSP_CORE
LN-0100025,BW-0050025,FHA,2024-12-11,2054-12-11,210773,237686,8.114,360,WA,REFINANCE_CASH_OUT,C,10+ years,< $40k,CURRENT,0,U.S. Bank Home Mortgage,2026-01-04,2026-01-30,MISSING_DOCS,CORE_BLACKKNIGHT_LPS
LN-0100026,BW-0050026,CONVENTIONAL,2023-11-25,2038-11-25,446589,401433.89,5.93,180,IL,REFINANCE_CASH_OUT,A,3-5 years,$40k-$75k,CURRENT,0,Freedom Mortgage Corporation,2026-01-20,2025-12-27,VERIFIED,CORE_BLACKKNIGHT_LPS
LN-0100027,BW-0050027,FHA,2024-06-16,2039-06-16,391779,362830.89,5.162,180,NC,PURCHASE,A,6-9 years,$120k-$200k,CURRENT,0,Rocket Mortgage Servicing,2026-01-15,2026-01-29,,CORE_BLACKKNIGHT_LPS
LN-0100028,BW-0050028,FHA,2025-04-15,2045-04-15,407284,396592.8,6.56,240,CA,PURCHASE,B,3-5 years,$120k-$200k,CURRENT,0,U.S. Bank Home Mortgage,2026-01-13,2025-12-18,EXCEPTION_NOTED,ORIGINATION_PORTAL_V2
LN-0100029,BW-0050029,FHA,2025-02-10,2045-02-10,167767,162384.48,4.63,240,CA,REFINANCE_RATE_TERM,A,< 1 year,< $40k,CURRENT,0,Mr. Cooper Group,2026-01-04,2026-01-04,MISSING_DOCS,LOS_ENCOMPASS_PROD
LN-0100030,BW-0050030,CONVENTIONAL,2023-09-18,2053-09-18,397290,375659.77,6.447,360,MS,REFINANCE_RATE_TERM,B,6-9 years,$120k-$200k,CURRENT,0,Mr. Cooper Group,2026-01-18,2025-12-19,AUDIT_COMPLETE,LOS_ENCOMPASS_PROD
LN-0100031,BW-0050031,VA,2024-04-01,2044-04-01,562541,526444.62,5.728,240,MI,REFINANCE_RATE_TERM,A,3-5 years,$75k-$120k,LATE_30,41,Mr. Cooper Group,2025-12-12,2026-01-03,PENDING_REVIEW,LOS_ENCOMPASS_PROD
LN-0100032,BW-0050032,CONVENTIONAL,2023-01-20,2038-01-20,574265,493867.9,9.926,180,TX,PURCHASE,D,1-2 years,< $40k,CURRENT,0,Chase Home Lending,2026-01-20,2026-01-24,VERIFIED,LOS_ENCOMPASS_PROD
LN-0100033,BW-0050033,CONVENTIONAL,2024-03-22,2044-03-22,471157,440924.43,4.744,240,MI,REFINANCE_RATE_TERM,A,3-5 years,$120k-$200k,CURRENT,0,Chase Home Lending,2026-01-13,2026-01-19,EXCEPTION_NOTED,SERVICING_MSP_CORE
LN-0100034,BW-0050034,CONVENTIONAL,2023-06-27,2043-06-27,403259,366797.67,6.831,240,TX,PURCHASE,B,< 1 year,$75k-$120k,CURRENT,0,Rocket Mortgage Servicing,2026-01-17,2025-12-19,PENDING_REVIEW,ORIGINATION_PORTAL_V2
LN-0100035,BW-0050035,FHA,2024-04-23,2039-04-23,307750,282617.08,5.562,180,IL,PURCHASE,A,< 1 year,$200k+,CURRENT,0,Freedom Mortgage Corporation,2026-01-09,2025-12-24,EXCEPTION_NOTED,LOS_ENCOMPASS_PROD
LN-0100036,BW-0050036,VA,2024-09-04,2054-09-04,490932,475658.56,10.784,360,MI,REFINANCE_RATE_TERM,D,< 1 year,< $40k,CURRENT,152,U.S. Bank Home Mortgage,2026-01-03,2026-01-15,AUDIT_COMPLETE,LOS_ENCOMPASS_PROD
LN-0100037,BW-0050037,VA,2025-07-24,2045-07-24,394226,387327.05,8.253,240,FL,PURCHASE,C,3-5 years,$120k-$200k,CURRENT,0,Mr. Cooper Group,2026-01-02,2025-12-31,MISSING_DOCS,LOS_ENCOMPASS_PROD
LN-0100038,BW-0050038,FHA,2023-05-03,2043-05-03,337009,304571.88,8.357,240,TX,REFINANCE_RATE_TERM,C,< 1 year,$120k-$200k,CURRENT,0,Rocket Mortgage Servicing,2026-01-19,2026-01-09,VERIFIED,SERVICING_MSP_CORE
LN-0100039,BW-0050039,VA,2022-02-26,2037-02-26,508304,415397.32,6.212,180,NY,PURCHASE,B,1-2 years,$120k-$200k,CURRENT,0,Rocket Mortgage Servicing,2026-01-25,2025-12-19,MISSING_DOCS,LOS_ENCOMPASS_PROD
LN-0100040,BW-0050040,FHA,2022-10-04,2037-10-04,198475,167601.11,5.767,180,PA,PURCHASE,B,< 1 year,< $40k,CURRENT,0,Freedom Mortgage Corporation,2026-01-11,2026-01-04,AUDIT_COMPLETE,CORE_BLACKKNIGHT_LPS
LN-0100041,BW-0050041,FHA,2022-06-28,2037-06-28,-121315,101028.44,5.873,180,NY,REFINANCE_RATE_TERM,A,10+ years,$200k+,CURRENT,0,Wells Fargo Home Mortgage,2026-01-09,2026-01-05,AUDIT_COMPLETE,ORIGINATION_PORTAL_V2
LN-0100042,BW-0050042,CONVENTIONAL,2023-05-14,2053-05-14,481242,451298.05,4.774,360,WA,REFINANCE_RATE_TERM,A,6-9 years,$75k-$120k,CURRENT,0,Freedom Mortgage Corporation,2026-01-18,2026-01-29,VERIFIED,LOS_ENCOMPASS_PROD
LN-0100043,BW-0050043,CONVENTIONAL,2025-05-06,2045-05-06,631973,617226.96,5.586,240,UT,REFINANCE_RATE_TERM,B,6-9 years,$40k-$75k,CURRENT,0,Mr. Cooper Group,2026-01-13,2026-01-01,PENDING_REVIEW,CORE_BLACKKNIGHT_LPS
LN-0100044,BW-0050094,CONVENTIONAL,2023-02-14,2039-05-09,375064,586841.36,13.624,180,IL,PURCHASE,E,3-5 years,$120k-$200k,CURRENT,0,PennyMac Financial Services,2026-01-23,2026-01-30,MISSING_DOCS,SERVICING_MSP_CORE
LN-0100045,BW-0050045,CONVENTIONAL,2022-10-19,2052-10-19,630897,583053.98,4.978,360,TX,PURCHASE,A,< 1 year,< $40k,CURRENT,0,Rocket Mortgage Servicing,2026-01-01,2025-12-19,PENDING_REVIEW,LOS_ENCOMPASS_PROD
LN-0100046,BW-0050046,FHA,2025-03-18,2055-03-18,342700,0,6.068,360,TX,PURCHASE,B,3-5 years,$75k-$120k,PAID_OFF,0,PennyMac Financial Services,2026-01-30,2026-01-13,MISSING_DOCS,ORIGINATION_PORTAL_V2
LN-0100047,BW-0050047,CONVENTIONAL,2024-02-01,2054-02-01,561807,535589.34,8.436,360,CA,REFINANCE_RATE_TERM,C,1-2 years,< $40k,CURRENT,0,PennyMac Financial Services,2026-01-14,2026-01-29,VERIFIED,LOS_ENCOMPASS_PROD
LN-0100048,BW-0050048,FHA,2022-10-26,2037-10-26,353606,299975.76,6.469,180,TX_NORTH,PURCHASE,B,6-9 years,< $40k,CURRENT,0,Mr. Cooper Group,2026-01-18,2026-01-18,EXCEPTION_NOTED,LOS_ENCOMPASS_PROD
LN-0100049,BW-0050049,FHA,2023-06-29,2053-06-29,216229,203195.2,6.821,360,CA,REFINANCE_RATE_TERM,B,6-9 years,$120k-$200k,CURRENT,0,U.S. Bank Home Mortgage,2026-01-11,2025-12-30,EXCEPTION_NOTED,ORIGINATION_PORTAL_V2
LN-0100050,BW-0050050,FHA,2023-04-23,2038-04-23,285989,249287.08,6.501,180,CA,PURCHASE,B,< 1 year,< $40k,CURRENT,0,PennyMac Financial Services,2026-01-01,2026-01-12,,LOS_ENCOMPASS_PROD
LN-0100051,BW-0050051,JUMBO,2022-12-20,2037-12-20,875323,749373.75,7.485,180,VA,PURCHASE,C,3-5 years,$200k+,CURRENT,0,Chase Home Lending,2026-01-21,2026-01-19,AUDIT_COMPLETE,ORIGINATION_PORTAL_V2
LN-0100052,BW-0050052,FHA,2022-02-10,2042-02-10,255356,220350.95,10.767,240,AZ,PURCHASE,D,10+ years,$120k-$200k,CURRENT,0,Mr. Cooper Group,2026-01-26,2025-12-19,PENDING_REVIEW,LOS_ENCOMPASS_PROD
LN-0100053,BW-0050053,VA,2023-12-21,2043-12-21,376885,349403.8,5.82,240,FL,PURCHASE,B,1-2 years,$200k+,CURRENT,175,PennyMac Financial Services,2026-01-12,2026-01-21,AUDIT_COMPLETE,SERVICING_MSP_CORE
LN-0100054,BW-0050054,CONVENTIONAL,2023-01-03,2053-01-03,553841,513995.22,5.376,360,WA,PURCHASE,A,6-9 years,$75k-$120k,CURRENT,0,U.S. Bank Home Mortgage,2026-01-06,2026-01-28,VERIFIED,SERVICING_MSP_CORE
LN-0100055,BW-0050055,CONVENTIONAL,2023-06-02,2038-06-02,475452,416284.64,6.73,180,OK,PURCHASE,C,10+ years,$200k+,CURRENT,0,Mr. Cooper Group,2026-01-23,2026-01-02,AUDIT_COMPLETE,CORE_BLACKKNIGHT_LPS
LN-0100056,BW-0050056,CONVENTIONAL,2025-07-03,2055-07-03,338708,334097.81,5.999,360,CA,REFINANCE_RATE_TERM,A,< 1 year,$200k+,CURRENT,0,Wells Fargo Home Mortgage,2026-01-04,2026-01-19,PENDING_REVIEW,ORIGINATION_PORTAL_V2
LN-0100057,BW-0050057,JUMBO,2025-07-24,2045-07-24,848671,833819.26,6.571,240,CA,REFINANCE_RATE_TERM,B,1-2 years,$40k-$75k,CURRENT,0,PennyMac Financial Services,2025-12-31,2026-01-09,AUDIT_COMPLETE,SERVICING_MSP_CORE
LN-0100058,BW-0050058,FHA,2023-02-09,2043-02-09,255679,229578.44,8.44,240,SD,REFINANCE_CASH_OUT,C,10+ years,$40k-$75k,CURRENT,0,Rocket Mortgage Servicing,2025-12-31,2026-01-09,PENDING_REVIEW,LOS_ENCOMPASS_PROD
LN-0100059,BW-0050059,CONVENTIONAL,2023-08-19,2053-08-19,471927,445315.56,10.438,360,VT,REFINANCE_RATE_TERM,D,10+ years,$120k-$200k,CURRENT,0,U.S. Bank Home Mortgage,2026-01-23,2026-01-07,MISSING_DOCS,SERVICING_MSP_CORE
LN-0100060,BW-0050060,CONVENTIONAL,2023-09-10,2038-09-10,295331,263172.74,7.515,180,AK,PURCHASE,C,10+ years,$75k-$120k,CURRENT,0,Freedom Mortgage Corporation,2026-01-24,2026-01-20,EXCEPTION_NOTED,CORE_BLACKKNIGHT_LPS
LN-0100061,BW-0050061,CONVENTIONAL,2023-06-14,2038-06-14,373203,328211.31,6.078,180,WV,PURCHASE,B,3-5 years,$120k-$200k,LATE_90,96,Freedom Mortgage Corporation,2025-10-21,2026-01-01,PENDING_REVIEW,SERVICING_MSP_CORE
LN-0100062,BW-0050062,CONVENTIONAL,2024-11-26,2054-11-26,620354,0,13.913,360,ND,REFINANCE_RATE_TERM,E,< 1 year,$200k+,LATE_90,0,Wells Fargo Home Mortgage,2026-01-21,2026-01-02,VERIFIED,LOS_ENCOMPASS_PROD
LN-0100063,BW-0050063,FHA,2025-06-21,2045-06-21,347780,340679.49,6.815,240,IL,REFINANCE_RATE_TERM,B,10+ years,$40k-$75k,CURRENT,0,Wells Fargo Home Mortgage,2026-01-10,2025-12-26,VERIFIED,SERVICING_MSP_CORE
LN-0100064,BW-0050064,CONVENTIONAL,2023-02-16,2038-02-16,622429,537709.5,11.902,180,WA,REFINANCE_CASH_OUT,E,10+ years,$120k-$200k,CURRENT,0,Rocket Mortgage Servicing,2026-01-23,2025-12-22,EXCEPTION_NOTED,LOS_ENCOMPASS_PROD
LN-0100065,BW-0050065,CONVENTIONAL,2024-10-05,2039-10-05,600625,565588.54,8.272,180,CT,PURCHASE,C,6-9 years,$75k-$120k,CURRENT,0,Mr. Cooper Group,2026-01-10,2026-01-07,MISSING_DOCS,LOS_ENCOMPASS_PROD
LN-0100066,BW-0050066,CONVENTIONAL,2023-07-16,2043-07-16,469301,428237.16,4.659,240,CA,REFINANCE_RATE_TERM,A,6-9 years,$120k-$200k,CURRENT,0,Mr. Cooper Group,2026-01-16,2026-01-05,PENDING_REVIEW,ORIGINATION_PORTAL_V2
LN-0100067,BW-0050067,VA,2024-02-31,2042-02-08,309977,267484.32,4.57,240,OH,PURCHASE,A,6-9 years,$120k-$200k,CURRENT,0,PennyMac Financial Services,2026-01-01,2025-12-26,VERIFIED,ORIGINATION_PORTAL_V2
LN-0100068,BW-0050068,CONVENTIONAL,2025-06-26,2045-06-26,481843,472005.37,6.921,240,IL,REFINANCE_RATE_TERM,B,1-2 years,$75k-$120k,LATE_90,109,Freedom Mortgage Corporation,2025-10-11,2025-12-29,EXCEPTION_NOTED,CORE_BLACKKNIGHT_LPS
LN-0100069,BW-0050069,CONVENTIONAL,2024-10-26,2039-10-26,465470,438317.58,16.414,180,VA,PURCHASE,F,< 1 year,$40k-$75k,CURRENT,0,PennyMac Financial Services,2026-01-10,2026-01-20,MISSING_DOCS,CORE_BLACKKNIGHT_LPS
,BW-0050070,CONVENTIONAL,2023-03-13,2053-03-13,353057,329716.01,6.326,360,NC,PURCHASE,B,10+ years,$200k+,LATE_60,83,Chase Home Lending,2025-10-26,2026-01-21,AUDIT_COMPLETE,LOS_ENCOMPASS_PROD
LN-0100071,BW-0050071,CONVENTIONAL,2023-08-18,2038-08-18,623291,552997.63,8.317,180,TX,PURCHASE,C,< 1 year,< $40k,CURRENT,0,Rocket Mortgage Servicing,2026-01-03,2026-01-19,AUDIT_COMPLETE,ORIGINATION_PORTAL_V2
LN-0100072,BW-0050072,CONVENTIONAL,2022-12-01,2037-12-01,605378,515916.58,6.908,180,ID,REFINANCE_RATE_TERM,C,10+ years,< $40k,LATE_90,0,Wells Fargo Home Mortgage,2026-01-02,2026-01-09,PENDING_REVIEW,CORE_BLACKKNIGHT_LPS
LN-0100073,BW-0050073,VA,2022-01-10,2052-01-10,265145,240398.13,10.783,360,WA,REFINANCE_RATE_TERM,D,< 1 year,$200k+,CURRENT,0,Freedom Mortgage Corporation,2026-01-04,2026-01-04,PENDING_REVIEW,LOS_ENCOMPASS_PROD
LN-0100074,BW-0050074,FHA,2023-12-22,2053-12-22,407339,387537.8,5.156,360,NY,REFINANCE_RATE_TERM,A,6-9 years,$200k+,LATE_30,46,U.S. Bank Home Mortgage,2025-12-08,2024-03-20,MISSING_DOCS,LOS_ENCOMPASS_PROD
LN-0100075,BW-0050075,FHA,2025-05-06,2040-05-06,339936,329360.21,6.052,180,DE,PURCHASE,B,10+ years,$120k-$200k,CURRENT,0,Wells Fargo Home Mortgage,2026-01-19,2026-01-03,EXCEPTION_NOTED,SERVICING_MSP_CORE
LN-0100076,BW-0050076,VA,2024-05-26,2044-05-26,318658,300069.62,8.066,240,AZ,PURCHASE,C,1-2 years,< $40k,CURRENT,0,Mr. Cooper Group,2026-01-16,2026-01-01,MISSING_DOCS,ORIGINATION_PORTAL_V2
LN-0100077,BW-0050077,FHA,2024-05-15,2021-08-01,213813,203835.06,5.409,240,NY,PURCHASE,A,< 1 year,< $40k,CURRENT,0,PennyMac Financial Services,2026-01-01,2026-01-22,VERIFIED,ORIGINATION_PORTAL_V2
LN-0100078,BW-0050078,CONVENTIONAL,2024-09-01,2054-09-01,315527,305097.08,6.944,360,WV,REFINANCE_RATE_TERM,B,10+ years,$40k-$75k,CURRENT,0,Rocket Mortgage Servicing,2026-01-08,2025-12-21,MISSING_DOCS,CORE_BLACKKNIGHT_LPS
LN-0100079,BW-0050079,CONVENTIONAL,2024-07-14,2054-07-14,588817,568208.41,5.654,360,WA,REFINANCE_CASH_OUT,B,1-2 years,$40k-$75k,CURRENT,0,Freedom Mortgage Corporation,2026-01-25,2024-02-20,PENDING_REVIEW,ORIGINATION_PORTAL_V2
LN-0100080,BW-0050080,FHA,2023-12-25,2053-12-25,324472,308699.06,4.78,360,NY,PURCHASE,A,6-9 years,$200k+,CURRENT,0,Wells Fargo Home Mortgage,2026-01-23,2026-01-27,MISSING_DOCS,CORE_BLACKKNIGHT_LPS
LN-0100081,BW-0050081,FHA,2024-08-10,2039-08-10,204934,191385.59,5.025,180,GA,REFINANCE_RATE_TERM,A,1-2 years,< $40k,CURRENT,0,Rocket Mortgage Servicing,2026-01-23,2026-01-28,MISSING_DOCS,ORIGINATION_PORTAL_V2
LN-0100082,BW-0050082,CONVENTIONAL,2021-11-20,2036-11-20,219100,176497.22,12.535,180,IL,PURCHASE,E,3-5 years,$120k-$200k,LATE_60,65,Wells Fargo Home Mortgage,2025-11-23,2026-01-12,MISSING_DOCS,ORIGINATION_PORTAL_V2
LN-0100083,BW-0050083,JUMBO,2024-05-15,2021-08-01,1159847,1080912.97,5.035,360,ME,PURCHASE,A,10+ years,$75k-$120k,CURRENT,0,Mr. Cooper Group,2026-01-27,2026-01-03,EXCEPTION_NOTED,ORIGINATION_PORTAL_V2
LN-0100084,BW-0050084,CONVENTIONAL,2025-04-05,2040-04-05,223953,216114.65,6.842,180,NY,REFINANCE_RATE_TERM,B,< 1 year,$75k-$120k,CURRENT,0,Freedom Mortgage Corporation,2026-01-12,2026-01-29,VERIFIED,SERVICING_MSP_CORE
LN-0100085,BW-0050085,CONVENTIONAL,2024-12-24,2054-12-24,486169,473879.73,7.68,360,NC,REFINANCE_CASH_OUT,C,3-5 years,$75k-$120k,CURRENT,0,Rocket Mortgage Servicing,2026-01-10,2025-12-25,VERIFIED,CORE_BLACKKNIGHT_LPS
LN-0100086,BW-0050086,CONVENTIONAL,2021-10-26,2051-10-26,519614,468085.61,8.069,360,TX,PURCHASE,C,10+ years,$200k+,CURRENT,0,Wells Fargo Home Mortgage,2026-01-26,2025-12-29,VERIFIED,ORIGINATION_PORTAL_V2
LN-0100087,BW-0050087,CONVENTIONAL,2022-10-10,2042-10-10,629968,558309.14,7.452,240,ME,REFINANCE_RATE_TERM,C,6-9 years,$75k-$120k,CURRENT,0,PennyMac Financial Services,2026-01-27,2025-12-29,MISSING_DOCS,SERVICING_MSP_CORE
LN-0100088,BW-0050088,CONVENTIONAL,2021-09-22,2036-09-22,409916,327021.88,10.169,180,PA,PURCHASE,D,1-2 years,$200k+,CURRENT,0,Freedom Mortgage Corporation,2026-01-18,2026-01-31,VERIFIED,LOS_ENCOMPASS_PROD
LN-0100089,BW-0050089,CONVENTIONAL,2023-10-22,2043-10-22,236114,217520.02,8.808,240,FL,REFINANCE_RATE_TERM,D,3-5 years,< $40k,CURRENT,0,U.S. Bank Home Mortgage,2026-01-08,2025-12-30,AUDIT_COMPLETE,SERVICING_MSP_CORE
LN-0100090,BW-0050090,CONVENTIONAL,2024-01-03,2044-01-03,626663,580968.82,4.905,240,NV,REFINANCE_RATE_TERM,A,< 1 year,< $40k,CURRENT,0,PennyMac Financial Services,2026-01-15,2026-01-21,AUDIT_COMPLETE,ORIGINATION_PORTAL_V2
LN-0100091,BW-0050091,CONVENTIONAL,2024-04-15,2044-04-15,318951,299415.25,7.581,240,CO,PURCHASE,C,< 1 year,$200k+,CURRENT,0,Mr. Cooper Group,2026-01-22,2026-01-29,EXCEPTION_NOTED,LOS_ENCOMPASS_PROD
LN-0100092,BW-0050092,CONVENTIONAL,2021-12-30,2041-12-30,355702,304866.26,6.215,240,IN,REFINANCE_RATE_TERM,B,10+ years,$200k+,CURRENT,0,Rocket Mortgage Servicing,2025-12-31,2025-12-30,PENDING_REVIEW,LOS_ENCOMPASS_PROD
LN-0100093,BW-0050093,VA,2025-07-19,2055-07-19,363352,359112.89,5.928,360,CT,REFINANCE_RATE_TERM,A,6-9 years,< $40k,CURRENT,0,Rocket Mortgage Servicing,2026-01-26,2026-01-05,PENDING_REVIEW,SERVICING_MSP_CORE
LN-0100094,BW-0050094,CONVENTIONAL,2023-02-14,2043-02-14,375064,230632.12,6.282,240,TX,PURCHASE,B,3-5 years,$40k-$75k,PAID_OFF,0,Wells Fargo Home Mortgage,2026-01-05,2026-01-31,EXCEPTION_NOTED,SERVICING_MSP_CORE
LN-0100095,BW-0050095,CONVENTIONAL,2023-07-07,2043-07-07,398594,363717.03,4.659,240,NC,PURCHASE,A,3-5 years,< $40k,CURRENT,0,Freedom Mortgage Corporation,2026-01-27,2026-01-20,AUDIT_COMPLETE,CORE_BLACKKNIGHT_LPS
LN-0100196,BW-0050096,JUMBO,2023-11-19,2038-11-19,1045981,940220.7,6.115,180,CA,PURCHASE,B,< 1 year,$75k-$120k,CURRENT,0,Chase Home Lending,2026-01-03,2026-01-18,MISSING_DOCS,SERVICING_MSP_CORE
LN-0100097,BW-0050097,JUMBO,2023-09-29,2043-09-29,1690170,1552139.45,6.48,240,WY,REFINANCE_RATE_TERM,B,6-9 years,< $40k,CURRENT,0,Wells Fargo Home Mortgage,2026-01-27,2025-12-26,AUDIT_COMPLETE,SERVICING_MSP_CORE
LN-0100098,BW-0050098,FHA,2022-09-22,2052-09-22,236862,218439.4,14.23,360,CA,PURCHASE,E,3-5 years,$120k-$200k,CURRENT,0,Mr. Cooper Group,2026-01-27,2026-01-31,,LOS_ENCOMPASS_PROD
