loan_id,document_status,promissory_note_vaulted,deed_of_trust_recorded,title_policy_attached,last_custody_audit_date
LN-0100103,MISSING_DOCS,NO,YES,YES,2025-12-15
LN-0100104,MISSING_DOCS,YES,YES,YES,2025-10-20
LN-0100105,AUDIT_COMPLETE,YES,YES,YES,2025-11-09
LN-0100106,EXCEPTION_NOTED,YES,YES,YES,2026-01-24
LN-0100107,VERIFIED,YES,YES,YES,2026-01-07
LN-0100108,EXCEPTION_NOTED,YES,YES,YES,2025-10-09
LN-0100109,PENDING_REVIEW,NO,YES,YES,2025-12-25
LN-0100110,MISSING_DOCS,YES,YES,YES,2025-12-02
LN-0100111,EXCEPTION_NOTED,YES,YES,YES,2025-11-13
LN-0100112,MISSING_DOCS,YES,YES,YES,2025-12-11
LN-0100113,VERIFIED,NO,YES,YES,2025-12-03
LN-0100114,VERIFIED,YES,YES,YES,2025-10-15
LN-0100115,PENDING_REVIEW,YES,YES,YES,2025-11-21
LN-0100116,PENDING_REVIEW,YES,YES,YES,2025-12-23
LN-0100117,PENDING_REVIEW,YES,YES,YES,2026-01-26
LN-0100118,PENDING_REVIEW,YES,YES,YES,2025-12-16
LN-0100119,AUDIT_COMPLETE,YES,YES,YES,2026-01-18
LN-0100120,VERIFIED,YES,YES,YES,2025-10-12
LN-0100121,MISSING_DOCS,YES,YES,YES,2025-11-17
LN-0100122,AUDIT_COMPLETE,YES,YES,YES,2026-01-18
LN-0100123,AUDIT_COMPLETE,YES,YES,YES,2025-12-12
LN-0100124,EXCEPTION_NOTED,YES,YES,YES,2025-12-25
LN-0100125,EXCEPTION_NOTED,YES,YES,YES,2025-10-23
LN-0100126,AUDIT_COMPLETE,YES,YES,YES,2025-12-18
LN-0100127,AUDIT_COMPLETE,YES,YES,YES,2025-11-05
LN-0100128,MISSING_DOCS,YES,YES,YES,2026-01-16
LN-0100129,AUDIT_COMPLETE,YES,YES,YES,2025-10-11
LN-0100130,VERIFIED,YES,YES,YES,2025-11-26
LN-0100131,MISSING_DOCS,YES,YES,NO,2025-12-25
LN-0100132,VERIFIED,YES,YES,YES,2025-12-14
LN-0100133,MISSING_DOCS,YES,YES,YES,2026-01-26
LN-0100134,VERIFIED,YES,YES,YES,2026-01-02
LN-0100135,EXCEPTION_NOTED,YES,YES,YES,2025-10-18
LN-0100136,AUDIT_COMPLETE,YES,YES,YES,2026-01-07
LN-0100137,EXCEPTION_NOTED,YES,YES,YES,2025-12-31
LN-0100138,EXCEPTION_NOTED,NO,YES,YES,2026-01-24
LN-0100141,MISSING_DOCS,YES,YES,NO,2025-10-16
LN-0100142,EXCEPTION_NOTED,YES,YES,YES,2025-12-02
LN-0100143,AUDIT_COMPLETE,YES,YES,YES,2026-01-22
LN-0100144,PENDING_REVIEW,YES,YES,YES,2025-10-23
LN-0100145,VERIFIED,YES,YES,YES,2025-10-28
LN-0100146,MISSING_DOCS,YES,YES,YES,2025-12-18
LN-0100147,MISSING_DOCS,YES,YES,YES,2025-11-23
LN-0100148,AUDIT_COMPLETE,YES,YES,YES,2025-10-13
LN-0100149,AUDIT_COMPLETE,YES,YES,YES,2025-12-16
LN-0100150,MISSING_DOCS,YES,YES,YES,2026-01-24
LN-0100151,VERIFIED,YES,YES,YES,2025-10-20
LN-0100152,MISSING_DOCS,YES,YES,YES,2026-01-12
LN-0100153,VERIFIED,YES,YES,YES,2025-10-05
LN-0100154,MISSING_DOCS,YES,YES,YES,2025-11-22
LN-0100155,VERIFIED,YES,YES,YES,2025-11-17
LN-0100156,PENDING_REVIEW,YES,YES,YES,2026-01-04
LN-0100157,VERIFIED,YES,YES,YES,2025-12-09
LN-0100158,EXCEPTION_NOTED,YES,YES,YES,2025-11-19
LN-0100159,AUDIT_COMPLETE,NO,YES,YES,2025-12-08
LN-0100160,AUDIT_COMPLETE,YES,YES,YES,2025-11-17
LN-0100161,PENDING_REVIEW,YES,YES,YES,2026-01-20
LN-0100162,PENDING_REVIEW,YES,YES,YES,2025-11-25
LN-0100163,VERIFIED,NO,YES,YES,2025-10-28
LN-0100164,VERIFIED,YES,YES,YES,2025-10-13
LN-0100165,MISSING_DOCS,YES,YES,NO,2025-11-11
LN-0100166,AUDIT_COMPLETE,YES,YES,YES,2025-12-13
LN-0100167,VERIFIED,YES,YES,YES,2025-12-22
LN-0100168,PENDING_REVIEW,YES,YES,YES,2025-10-15
LN-0100169,EXCEPTION_NOTED,NO,YES,YES,2025-10-17
LN-0100170,MISSING_DOCS,YES,YES,YES,2025-12-16
LN-0100171,PENDING_REVIEW,YES,YES,NO,2025-11-22
LN-0100172,EXCEPTION_NOTED,YES,YES,NO,2025-10-05
LN-0100173,EXCEPTION_NOTED,YES,YES,YES,2026-01-07
LN-0100174,PENDING_REVIEW,YES,YES,YES,2026-01-13
LN-0100175,AUDIT_COMPLETE,YES,YES,YES,2025-11-16
LN-0100176,AUDIT_COMPLETE,YES,YES,YES,2025-11-01
LN-0100177,AUDIT_COMPLETE,YES,YES,YES,2026-01-20
LN-0100178,MISSING_DOCS,YES,NO,YES,2025-12-11
LN-0100179,MISSING_DOCS,YES,YES,YES,2025-12-14
LN-0100180,EXCEPTION_NOTED,YES,YES,NO,2026-01-15
LN-0100181,PENDING_REVIEW,YES,YES,YES,2025-10-11
LN-0100182,AUDIT_COMPLETE,YES,YES,YES,2025-10-15
LN-0100183,PENDING_REVIEW,NO,YES,YES,2025-11-21
LN-0100184,MISSING_DOCS,YES,YES,YES,2025-12-02
LN-0100185,MISSING_DOCS,NO,YES,YES,2025-11-14
LN-0100186,VERIFIED,YES,YES,YES,2026-01-10
LN-0100187,AUDIT_COMPLETE,YES,NO,YES,2025-12-10
LN-0100188,MISSING_DOCS,YES,YES,YES,2025-11-25
LN-0100189,AUDIT_COMPLETE,YES,YES,YES,2025-11-30
LN-0100190,MISSING_DOCS,YES,YES,YES,2025-11-19
LN-0100191,AUDIT_COMPLETE,YES,YES,YES,2025-12-03
LN-0100192,PENDING_REVIEW,YES,YES,YES,2025-11-04
LN-0100193,EXCEPTION_NOTED,NO,YES,YES,2025-11-03
LN-0100194,AUDIT_COMPLETE,YES,YES,YES,2025-10-08
LN-0100195,VERIFIED,YES,YES,YES,2025-12-20
LN-0100196,VERIFIED,YES,YES,YES,2026-01-12
LN-0100197,AUDIT_COMPLETE,YES,YES,NO,2025-11-03
LN-0100198,MISSING_DOCS,YES,YES,YES,2025-10-09
LN-0100199,PENDING_REVIEW,YES,YES,YES,2026-01-18
LN-0100202,MISSING_DOCS,YES,YES,YES,2025-10-16
LN-0100203,EXCEPTION_NOTED,YES,YES,YES,2025-12-31
LN-0100204,VERIFIED,YES,YES,YES,2026-01-20
LN-0100206,PENDING_REVIEW,YES,YES,YES,2025-12-30
LN-0100207,EXCEPTION_NOTED,YES,YES,YES,2025-11-12
LN-0100208,PENDING_REVIEW,YES,YES,YES,2025-12-08
LN-0100209,EXCEPTION_NOTED,YES,YES,YES,2025-11-26
LN-0100210,EXCEPTION_NOTED,YES,NO,YES,2025-12-25
LN-0100211,EXCEPTION_NOTED,YES,YES,YES,2025-10-09
LN-0100212,EXCEPTION_NOTED,YES,YES,YES,2025-12-10
LN-0100213,EXCEPTION_NOTED,NO,YES,YES,2026-01-20
LN-0100214,MISSING_DOCS,YES,YES,YES,2025-11-18
LN-0100215,PENDING_REVIEW,NO,YES,YES,2025-10-28
LN-0100216,AUDIT_COMPLETE,YES,YES,YES,2025-10-26
LN-0100217,EXCEPTION_NOTED,NO,YES,YES,2025-10-15
LN-0100218,VERIFIED,YES,NO,YES,2025-11-07
LN-0100219,AUDIT_COMPLETE,YES,YES,YES,2026-01-20
LN-0100220,AUDIT_COMPLETE,YES,YES,NO,2025-12-13
LN-0100221,EXCEPTION_NOTED,YES,YES,YES,2025-12-01
LN-0100222,VERIFIED,YES,YES,YES,2025-11-27
LN-0100223,MISSING_DOCS,YES,YES,YES,2025-10-19
LN-0100224,EXCEPTION_NOTED,YES,YES,YES,2025-10-25
LN-0100225,AUDIT_COMPLETE,YES,YES,YES,2026-01-19
LN-0100226,VERIFIED,YES,YES,YES,2025-11-13
LN-0100227,VERIFIED,YES,YES,YES,2026-01-04
LN-0100228,AUDIT_COMPLETE,YES,YES,YES,2025-11-12
LN-0100229,AUDIT_COMPLETE,YES,YES,YES,2025-10-08
LN-0100230,EXCEPTION_NOTED,YES,NO,YES,2025-10-20
LN-0100231,PENDING_REVIEW,YES,YES,YES,2025-12-07
LN-0100233,MISSING_DOCS,YES,YES,NO,2025-12-17
LN-0100235,MISSING_DOCS,YES,YES,YES,2026-01-07
LN-0100236,EXCEPTION_NOTED,YES,YES,YES,2025-12-28
LN-0100237,PENDING_REVIEW,YES,YES,YES,2025-12-20
LN-0100238,MISSING_DOCS,YES,YES,YES,2025-10-28
LN-0100239,MISSING_DOCS,YES,YES,YES,2025-10-21
LN-0100240,EXCEPTION_NOTED,YES,YES,YES,2026-01-04
LN-0100241,VERIFIED,YES,NO,YES,2025-11-09
LN-0100242,EXCEPTION_NOTED,YES,YES,YES,2025-12-27
LN-0100243,VERIFIED,YES,YES,YES,2025-12-31
LN-0100244,VERIFIED,YES,YES,YES,2025-11-28
LN-0100245,PENDING_REVIEW,YES,YES,YES,2025-11-29
LN-0100246,EXCEPTION_NOTED,YES,YES,YES,2025-10-29
LN-0100247,VERIFIED,YES,YES,YES,2025-11-10
LN-0100248,EXCEPTION_NOTED,YES,YES,YES,2025-12-27
LN-0100249,AUDIT_COMPLETE,YES,YES,YES,2026-01-03
LN-0100250,EXCEPTION_NOTED,YES,YES,YES,2025-12-01
LN-0100251,VERIFIED,NO,YES,YES,2026-01-16
LN-0100252,AUDIT_COMPLETE,YES,NO,YES,2026-01-16
LN-0100253,MISSING_DOCS,YES,YES,YES,2025-11-16
LN-0100254,VERIFIED,YES,YES,YES,2026-01-02
LN-0100255,VERIFIED,YES,YES,YES,2026-01-17
LN-0100256,AUDIT_COMPLETE,YES,YES,YES,2025-11-10
LN-0100257,AUDIT_COMPLETE,YES,YES,YES,2026-01-14
LN-0100258,AUDIT_COMPLETE,YES,YES,YES,2026-01-15
LN-0100259,AUDIT_COMPLETE,YES,YES,YES,2025-11-24
LN-0100260,PENDING_REVIEW,NO,YES,YES,2025-11-27
LN-0100261,EXCEPTION_NOTED,YES,YES,YES,2025-12-22
LN-0100262,AUDIT_COMPLETE,YES,YES,NO,2025-11-05
LN-0100264,PENDING_REVIEW,YES,YES,YES,2025-11-24
LN-0100265,MISSING_DOCS,YES,YES,YES,2025-11-25
LN-0100266,EXCEPTION_NOTED,YES,YES,YES,2026-01-04
LN-0100267,EXCEPTION_NOTED,YES,YES,YES,2025-10-18
LN-0100268,PENDING_REVIEW,YES,YES,YES,2025-11-11
LN-0100269,PENDING_REVIEW,YES,YES,YES,2025-10-30
LN-0100270,MISSING_DOCS,NO,YES,YES,2025-12-09
LN-0100271,VERIFIED,YES,YES,YES,2025-11-30
LN-0100272,EXCEPTION_NOTED,YES,YES,YES,2025-11-17
LN-0100273,AUDIT_COMPLETE,YES,YES,YES,2025-10-25
LN-0100274,PENDING_REVIEW,YES,YES,YES,2025-12-20
LN-0100275,VERIFIED,YES,YES,YES,2025-10-16
LN-0100276,MISSING_DOCS,YES,YES,YES,2025-11-03
LN-0100277,VERIFIED,YES,YES,YES,2025-11-22
LN-0100278,PENDING_REVIEW,YES,YES,YES,2025-12-15
LN-0100279,MISSING_DOCS,YES,NO,YES,2025-12-15
LN-0100280,PENDING_REVIEW,YES,YES,YES,2025-10-30
LN-0100281,EXCEPTION_NOTED,YES,YES,YES,2026-01-14
LN-0100282,VERIFIED,YES,YES,YES,2025-10-11
LN-0100283,MISSING_DOCS,NO,YES,YES,2026-01-05
LN-0100284,PENDING_REVIEW,YES,YES,YES,2025-12-13
LN-0100285,VERIFIED,YES,YES,YES,2025-11-22
LN-0100286,PENDING_REVIEW,YES,YES,YES,2025-10-25
LN-0100287,MISSING_DOCS,YES,YES,YES,2025-12-10
LN-0100288,PENDING_REVIEW,YES,YES,YES,2025-10-13
LN-0100289,EXCEPTION_NOTED,YES,YES,YES,2025-10-13
LN-0100290,AUDIT_COMPLETE,YES,YES,YES,2026-01-09
LN-0100291,PENDING_REVIEW,YES,YES,YES,2025-10-05
LN-0100292,VERIFIED,YES,YES,YES,2025-11-04
LN-0100293,VERIFIED,YES,YES,YES,2026-01-11
LN-0100294,MISSING_DOCS,YES,YES,YES,2026-01-06
LN-0100295,VERIFIED,YES,YES,YES,2025-12-10
LN-0100296,PENDING_REVIEW,YES,YES,YES,2025-10-05
LN-0100297,PENDING_REVIEW,NO,YES,YES,2025-10-11
LN-0100298,VERIFIED,YES,YES,YES,2025-11-28
LN-0100299,VERIFIED,YES,YES,YES,2025-10-26
LN-0100300,VERIFIED,YES,YES,YES,2025-10-11
LN-0100301,VERIFIED,YES,YES,YES,2025-12-02
LN-0100302,VERIFIED,YES,YES,YES,2025-10-17
LN-0100303,PENDING_REVIEW,YES,YES,YES,2025-10-25
LN-0100304,PENDING_REVIEW,YES,NO,NO,2025-12-19
LN-0100305,VERIFIED,YES,YES,YES,2025-10-29
LN-0100306,AUDIT_COMPLETE,YES,YES,YES,2025-11-02
LN-0100307,VERIFIED,YES,YES,YES,2025-11-20
LN-0100309,VERIFIED,NO,YES,YES,2025-11-06
LN-0100310,EXCEPTION_NOTED,NO,YES,YES,2025-10-14
LN-0100311,PENDING_REVIEW,YES,YES,YES,2025-12-17
LN-0100312,AUDIT_COMPLETE,YES,YES,YES,2025-10-18
LN-0100315,EXCEPTION_NOTED,YES,YES,NO,2026-01-07
LN-0100316,PENDING_REVIEW,YES,YES,YES,2026-01-24
LN-0100317,MISSING_DOCS,NO,YES,YES,2025-11-12
LN-0100318,MISSING_DOCS,YES,YES,YES,2026-01-16
LN-0100319,MISSING_DOCS,YES,YES,YES,2025-12-24
LN-0100321,VERIFIED,YES,YES,YES,2025-10-11
LN-0100322,EXCEPTION_NOTED,YES,YES,YES,2025-12-24
LN-0100323,MISSING_DOCS,YES,YES,YES,2025-12-14
LN-0100324,VERIFIED,YES,YES,YES,2025-10-22
LN-0100325,AUDIT_COMPLETE,YES,YES,YES,2025-12-11
LN-0100326,VERIFIED,YES,NO,YES,2026-01-21
LN-0100327,PENDING_REVIEW,YES,YES,YES,2025-11-02
LN-0100328,AUDIT_COMPLETE,YES,YES,YES,2025-12-20
LN-0100329,VERIFIED,YES,YES,YES,2026-01-27
LN-0100330,PENDING_REVIEW,YES,YES,YES,2025-12-12
LN-0100331,MISSING_DOCS,YES,YES,YES,2025-11-17
LN-0100332,MISSING_DOCS,YES,YES,YES,2026-01-23
LN-0100333,AUDIT_COMPLETE,YES,YES,YES,2025-11-20
LN-0100334,PENDING_REVIEW,YES,YES,YES,2025-11-14
LN-0100335,EXCEPTION_NOTED,YES,YES,YES,2025-11-19
LN-0100336,EXCEPTION_NOTED,YES,YES,YES,2025-10-27
LN-0100337,MISSING_DOCS,YES,YES,YES,2025-10-13
LN-0100338,MISSING_DOCS,YES,NO,YES,2026-01-21
LN-0100339,VERIFIED,YES,YES,YES,2025-11-05
LN-0100340,PENDING_REVIEW,YES,YES,YES,2026-01-04
LN-0100341,VERIFIED,YES,YES,YES,2025-10-30
LN-0100342,MISSING_DOCS,YES,YES,YES,2025-11-24
LN-0100343,AUDIT_COMPLETE,YES,YES,NO,2025-11-04
LN-0100344,VERIFIED,NO,YES,YES,2026-01-27
LN-0100345,EXCEPTION_NOTED,YES,YES,YES,2025-10-16
LN-0100346,VERIFIED,YES,YES,YES,2025-11-11
LN-0100347,VERIFIED,YES,YES,YES,2025-10-13
LN-0100348,EXCEPTION_NOTED,YES,YES,YES,2025-10-04
LN-0100449,MISSING_DOCS,YES,YES,YES,2025-10-26
LN-0100350,AUDIT_COMPLETE,YES,YES,NO,2025-12-14
LN-0100351,PENDING_REVIEW,YES,YES,YES,2025-12-02
LN-0100352,MISSING_DOCS,YES,YES,YES,2026-01-11
LN-0100353,EXCEPTION_NOTED,YES,YES,YES,2025-10-19
LN-0100354,VERIFIED,YES,YES,YES,2025-11-01
LN-0100355,EXCEPTION_NOTED,YES,YES,YES,2026-01-14
LN-0100356,PENDING_REVIEW,YES,YES,YES,2026-01-06
LN-0100357,EXCEPTION_NOTED,YES,YES,YES,2025-10-10
LN-0100358,MISSING_DOCS,YES,YES,YES,2026-01-05
LN-0100359,EXCEPTION_NOTED,YES,YES,YES,2025-12-01
LN-0100360,AUDIT_COMPLETE,YES,YES,YES,2025-10-24
LN-0100361,EXCEPTION_NOTED,YES,YES,YES,2025-11-01
LN-0100362,VERIFIED,YES,YES,YES,2026-01-24
LN-0100363,MISSING_DOCS,YES,YES,YES,2025-10-30
LN-0100364,PENDING_REVIEW,YES,YES,YES,2025-12-14
LN-0100365,PENDING_REVIEW,YES,YES,YES,2025-12-31
LN-0100366,VERIFIED,YES,YES,YES,2025-12-21
LN-0100367,MISSING_DOCS,YES,YES,YES,2025-11-29
LN-0100368,MISSING_DOCS,YES,YES,YES,2025-12-05
LN-0100369,AUDIT_COMPLETE,YES,YES,YES,2026-01-17
LN-0100370,VERIFIED,YES,YES,YES,2025-10-26
LN-0100371,EXCEPTION_NOTED,YES,YES,YES,2025-12-09
LN-0100372,EXCEPTION_NOTED,YES,YES,YES,2025-12-24
LN-0100373,VERIFIED,YES,YES,YES,2026-01-02
LN-0100374,AUDIT_COMPLETE,YES,YES,YES,2025-12-30
LN-0100375,AUDIT_COMPLETE,YES,YES,YES,2025-12-12
LN-0100376,MISSING_DOCS,YES,YES,YES,2026-01-08
LN-0100377,EXCEPTION_NOTED,YES,YES,YES,2025-12-02
LN-0100378,AUDIT_COMPLETE,YES,YES,YES,2026-01-19
LN-0100380,VERIFIED,YES,YES,NO,2026-01-22
LN-0100381,PENDING_REVIEW,YES,YES,YES,2026-01-09
LN-0100382,AUDIT_COMPLETE,YES,YES,YES,2025-11-27
LN-0100383,AUDIT_COMPLETE,YES,YES,YES,2025-11-01
LN-0100384,MISSING_DOCS,NO,YES,YES,2026-01-18
LN-0100385,AUDIT_COMPLETE,YES,YES,YES,2025-10-25
LN-0100386,MISSING_DOCS,YES,YES,YES,2025-12-28
LN-0100387,PENDING_REVIEW,YES,YES,YES,2025-11-07
LN-0100388,AUDIT_COMPLETE,YES,YES,YES,2025-11-14
LN-0100389,AUDIT_COMPLETE,YES,NO,YES,2026-01-10
LN-0100390,AUDIT_COMPLETE,YES,YES,YES,2025-11-16
LN-0100391,EXCEPTION_NOTED,YES,YES,YES,2025-10-17
LN-0100392,VERIFIED,YES,YES,YES,2025-12-11
LN-0100393,AUDIT_COMPLETE,YES,YES,YES,2025-10-13
LN-0100394,PENDING_REVIEW,YES,YES,YES,2025-10-14
LN-0100396,PENDING_REVIEW,YES,YES,YES,2026-01-19
LN-0100397,VERIFIED,YES,YES,YES,2026-01-22
LN-0100398,VERIFIED,YES,YES,YES,2025-12-10
LN-0100399,AUDIT_COMPLETE,YES,YES,YES,2026-01-05
LN-0100400,PENDING_REVIEW,YES,YES,YES,2025-11-03
LN-0100401,AUDIT_COMPLETE,YES,YES,YES,2025-10-26
LN-0100402,MISSING_DOCS,YES,YES,YES,2025-10-29
LN-0100403,EXCEPTION_NOTED,NO,YES,YES,2025-12-02
LN-0100504,VERIFIED,YES,YES,YES,2025-10-26
LN-0100405,MISSING_DOCS,YES,YES,YES,2025-12-20
LN-0100406,MISSING_DOCS,YES,YES,YES,2025-11-13
LN-0100407,EXCEPTION_NOTED,YES,YES,YES,2025-12-27
LN-0100408,EXCEPTION_NOTED,NO,YES,YES,2025-11-20
LN-0100409,VERIFIED,YES,YES,YES,2025-12-13
LN-0100410,AUDIT_COMPLETE,YES,YES,YES,2026-01-16
LN-0100411,MISSING_DOCS,YES,YES,YES,2025-10-29
LN-0100412,AUDIT_COMPLETE,YES,YES,YES,2025-10-29
LN-0100413,AUDIT_COMPLETE,YES,YES,YES,2026-01-17
LN-0100414,EXCEPTION_NOTED,YES,YES,YES,2025-12-17
LN-0100415,EXCEPTION_NOTED,YES,YES,YES,2025-12-07
LN-0100416,PENDING_REVIEW,YES,YES,YES,2026-01-12
LN-0100417,EXCEPTION_NOTED,YES,YES,YES,2025-10-10
LN-0100418,PENDING_REVIEW,YES,YES,YES,2026-01-20
LN-0100419,PENDING_REVIEW,YES,YES,YES,2025-12-01
LN-0100421,VERIFIED,YES,YES,YES,2025-12-02
LN-0100422,PENDING_REVIEW,YES,YES,NO,2025-11-04
LN-0100423,AUDIT_COMPLETE,YES,YES,YES,2025-12-07
LN-0100424,AUDIT_COMPLETE,YES,YES,YES,2025-11-13
LN-0100425,PENDING_REVIEW,YES,YES,YES,2025-10-06
LN-0100426,EXCEPTION_NOTED,YES,YES,YES,2026-01-13
LN-0100427,EXCEPTION_NOTED,YES,YES,YES,2025-10-23
LN-0100428,AUDIT_COMPLETE,YES,YES,YES,2025-12-26
LN-0100429,PENDING_REVIEW,YES,YES,YES,2025-10-09
LN-0100430,PENDING_REVIEW,YES,YES,YES,2025-12-20
LN-0100431,PENDING_REVIEW,YES,YES,YES,2026-01-25
